日期,行业名称,电量_万千瓦时
2024-01-02,7.皮革、毛皮、羽毛及其制品和制鞋业,59.4662
2024-01-02,7.装卸搬运和仓储业,272.5648
2024-01-02,8.木材加工和木、竹、藤、棕、草制品业,378.2913
2024-01-02,8.邮政业,39.0915
2024-01-02,9.家具制造业,160.029
2024-01-02,A、全行业用电合计,50087.7644
2024-01-02,B、城乡居民生活用电合计,15803.2209
2024-01-02,一、农、林、牧、渔业,1100.1266
2024-01-02,七、住宿和餐饮业,1056.571
2024-01-02,三、建筑业,1142.9465
2024-01-02,九、房地产业,2691.6826
2024-01-02,二、工业,30670.2063
2024-01-02,五、信息传输、软件和信息技术服务业,1076.0875
2024-01-02,全行业用电分类,50087.7644
2024-01-02,八、金融业,295.7657
2024-01-02,六、批发和零售业,3633.5501
2024-01-02,其他开采专业及辅助性活动,20.5244
2024-01-02,十、租赁和商务服务业,331.0952
2024-01-02,十一、公共服务及管理组织,5748.2269
2024-01-02,四、交通运输、仓储和邮政业,2341.506
2024-01-02,客户用电量,65890.9853
2024-01-02,（一）采矿业,876.8261
2024-01-02,（三）电力、热力、燃气及水的生产和供应业,2292.7978
2024-01-02,（二） 制造业,27500.5824
2024-01-03,      其中：排灌,125.8631
2024-01-03,    1.农业,363.8459
2024-01-03,    2.林业,7.7946
2024-01-03,    3.畜牧业,345.2389
2024-01-03,    4.渔业,79.2538
2024-01-03,    5.农、林、牧、渔专业及辅助性活动,353.5327
2024-01-03,    乡村居民,6068.1897
2024-01-03,    城镇居民,9343.6049
2024-01-03,    第一产业,796.1333
2024-01-03,    第三产业,17577.6373
2024-01-03,    第二产业,34174.4256
2024-01-03,  其中：中成药生产,48.3605
2024-01-03,  其中：互联网数据服务,105.3166
2024-01-03,  其中：体育用品制造,8.2042
2024-01-03,  其中：充换电服务业,708.8872
2024-01-03,  其中：光伏设备及元器件制造,18.754
2024-01-03,  其中：公共照明,689.8543
2024-01-03,  其中：医疗仪器设备及器械制造,30.3718
2024-01-03,  其中：地质勘查,5.3388
2024-01-03,  其中：城市公共交通运输,363.4783
2024-01-03,  其中：教育,1969.4169
2024-01-03,  其中：新能源车整车制造,40.4184
2024-01-03,  其中：橡胶制品业,222.1151
2024-01-03,  其中：氯碱,168.468
2024-01-03,  其中：水利管理业,99.8557
2024-01-03,  其中：水泥制造,1068.8277
2024-01-03,  其中：港口岸电,3.0045
2024-01-03,  其中：煤化工,228.0823
2024-01-03,  其中：电厂生产全部耗用电量,176.9851
2024-01-03,  其中：电气化铁路,1194.009
2024-01-03,  其中：碳化硅,4.1277
2024-01-03,  其中：科技推广和应用服务业,62.1832
2024-01-03,  其中：租赁业,10.2512
2024-01-03,  其中：结构性金属制品制造,589.6095
2024-01-03,  其中：肥料制造,2327.6315
2024-01-03,  其中：计算机制造,18.7757
2024-01-03,  其中：钢铁,3167.1175
2024-01-03,  其中：铁路运输设备制造,21.5395
2024-01-03,  其中：铝冶炼,2.9692
2024-01-03,  其中：风能原动设备制造,0.038
2024-01-03,  城市轨道交通设备制造,9.5814
2024-01-03,  塑料制品业,731.2862
2024-01-03,  抽水蓄能抽水耗用电量,589.271
2024-01-03,  玻璃制造,198.9596
2024-01-03,  生物药品制品制造,109.8767
2024-01-03,  电石,0.0
2024-01-03,  稀有稀土金属冶炼,3.9901
2024-01-03,  线路损失电量,0.1154
2024-01-03,  航空、航天器及设备制造,47.4946
2024-01-03,  通信设备制造,111.4384
2024-01-03,  铁合金冶炼,18.1703
2024-01-03,  铅锌冶炼,0.132
2024-01-03,  陶瓷制品制造,121.9635
2024-01-03,  黄磷,74.018
2024-01-03,1.农副食品加工业,737.7603
2024-01-03,1.房屋建筑业,399.7565
2024-01-03,1.煤炭开采和洗选业,6.3993
2024-01-03,1.电信、广播电视和卫星传输服务,455.6854
2024-01-03,1.电力、热力生产和供应业,1002.8008
2024-01-03,1.科学研究和技术服务业,357.1435
2024-01-03,1.铁路运输业,1300.3019
2024-01-03,10.造纸和纸制品业,740.6172
2024-01-03,11.印刷和记录媒介复制业,145.4074
2024-01-03,12.文教、工美、体育和娱乐用品制造业,92.1878
2024-01-03,13.石油、煤炭及其他燃料加工业,785.431
2024-01-03,14.化学原料和化学制品制造业,4837.0867
2024-01-03,15.医药制造业,679.759
2024-01-03,16.化学纤维制造业,82.8905
2024-01-03,17.橡胶和塑料制品业,953.4013
2024-01-03,18.非金属矿物制品业,3571.5705
2024-01-03,19.黑色金属冶炼和压延加工业,3185.2878
2024-01-03,2.互联网和相关服务,383.9037
2024-01-03,2.土木工程建筑业,343.176
2024-01-03,2.水利、环境和公共设施管理业,999.5526
2024-01-03,2.燃气生产和供应业,309.457
2024-01-03,2.石油和天然气开采业,189.614
2024-01-03,2.道路运输业,533.6386
2024-01-03,2.食品制造业,429.4708
2024-01-03,20.有色金属冶炼和压延加工业,516.6464
2024-01-03,21.金属制品业,1694.2702
2024-01-03,22.通用设备制造业,666.8561
2024-01-03,23.专用设备制造业,286.5868
2024-01-03,24.汽车制造业,1564.1919
2024-01-03,25.铁路、船舶、航空航天和其他运输设备制造业,247.7716
2024-01-03,26.电气机械和器材制造业,1556.6971
2024-01-03,27.计算机、通信和其他电子设备制造业,3269.7903
2024-01-03,28.仪器仪表制造业,52.5817
2024-01-03,29.其他制造业,632.7885
2024-01-03,3.居民服务、修理和其他服务业,247.1975
2024-01-03,3.建筑安装业,68.086
2024-01-03,3.水上运输业,16.6147
2024-01-03,3.水的生产和供应业,904.5792
2024-01-03,3.软件和信息技术服务业,229.0188
2024-01-03,3.酒、饮料及精制茶制造业,231.4123
2024-01-03,3.黑色金属矿采选业,176.0184
2024-01-03,30.废弃资源综合利用业,294.516
2024-01-03,31.金属制品、机械和设备修理业,148.7373
2024-01-03,4.建筑装饰、装修和其他建筑业,415.8983
2024-01-03,4.教育、文化、体育和娱乐业,2168.4966
2024-01-03,4.有色金属矿采选业,128.1299
2024-01-03,4.烟草制品业,74.8742
2024-01-03,4.航空运输业,77.834
2024-01-03,5.卫生和社会工作,971.7341
2024-01-03,5.管道运输业,41.5379
2024-01-03,5.纺织业,1491.8116
2024-01-03,5.非金属矿采选业  ,275.3028
2024-01-03,6.公共管理和社会组织、国际组织,1010.1236
